Subject,EPA (secs), BEPA (secs), SBEPA
AssetTransfer,9.698,259.507,0.119
BasicProvenance,0.103,0.522,0.031
DefectiveComponentCounter,0.17,0.244,0.046
DigitalLocker,2.13,5.294,0.057
FrequentFlyerRC,0.152,2.081,0.031
HelloBlockchain,0.053,0.106,0.031
RefrigeratedTransportation,0.714,935.943,212.392
RoomThermostat,0.113,0.539,0.031
SimpleMarketplace,0.178,12.748,0.031
Auction+EPA,3.579,273.833,32.178
AuctionFix+EPA+Ended,3.394,273.208,62.54
AuctionFix+EPA,3.504,283.189,43.616
CrowdfundingFix_EPA+Balance,33.508,3427.702,490.462
Crowdfunding_EPA+Balance,47.901,4031.397,1109.617
EPXCrowdsale+EPA+isCrowdSaleClosed,10.303,175.093,63.62
EPXCrowdsale+EPA,6.02,169.529,73.714
EPXCrowdsale,6.766,106.175,295.284
EscrowVault+EPA,116.657,3424.777,0.775
EscrowVault,17.473,3364.488,0.068
RefundEscrow+EPA,26.209,4338.669,1215.699
RefundEscrow,6.18,4773.689,0.063
RockPaperScissors+EPA,23.759,820.119,0.031
RockPaperScissors+OneWinner,53.232,2094.334,0.031
SimpleAuction+Ended+HB,1.838,12.67,6.965
SimpleAuction+EPA+Ended,7.202,163.356,59.477
SimpleAuction+EPA,5.044,150.153,59.013
ValidatorAuction+EPA,25.397,807.861,500.88
ValidatorAuction,8.628,757.765,65.633
auction_buggy,13.584,738.129,258.177
auction_fixed,35.281,1153.463,362.217
AssetTransfer_instanceAppraiser,30.601,476.283,0.335
AssetTransfer_instanceInspector,24.103,421.227,0.187
DigitalLocker_bankAgent,5.029,2.031,0.046
DigitalLocker_owner,5.06,2.058,0.046
DigitalLocker_thirdPartyRequestor,5.492,2.078,0.046
RefrigeratedTransportation_counterparty,1.389,670.166,41.356
RefrigeratedTransportation_initiatingCounterparty,2.649,683.043,48.971
